date,open,high,low,close,volume
2007/8/1,13211.09,13393.02,13132.65,13362.37,355960000
2007/8/2,13357.82,13503.33,13350.42,13463.33,264832000
2007/8/3,13462.25,13471.79,13175.24,13181.91,301805000
2007/8/6,13183.13,13470.16,13158.58,13468.78,311807000
2007/8/7,13467.72,13608.11,13347.17,13504.3,273339000
2007/8/8,13497.23,13695.82,13484.79,13657.86,288036000
2007/8/9,13652.33,13652.33,13270.68,13270.68,362490000
2007/8/10,13270.59,13306.52,13057.86,13239.54,338565000
2007/8/13,13238.24,13338.15,13219.46,13236.53,215260000
2007/8/14,13235.72,13269.78,13018.27,13028.92,269115000
2007/8/15,13021.93,13119.32,12834.24,12861.47,272765000
2007/8/16,12859.52,12885.85,12517.94,12845.78,457145000
2007/8/17,12848.05,13167.68,12847.81,13079.08,423942000
2007/8/20,13078.51,13181.66,12982.75,13121.35,231802000
2007/8/21,13120.05,13178.33,13052.17,13090.86,203995000
2007/8/22,13088.26,13248.08,13088.26,13236.13,205526000
2007/8/23,13237.27,13298.64,13169.15,13235.88,198161000
2007/8/24,13231.78,13381.47,13208.65,13378.87,186057000
2007/8/27,13377.16,13387.33,13305.55,13322.13,152444000
2007/8/28,13318.43,13318.6,13034.78,13041.85,230466000
2007/8/29,13043.07,13293.44,13043.07,13289.29,227442000
2007/8/30,13287.91,13315.14,13184.59,13238.73,193245000
2007/8/31,13240.84,13428.95,13240.84,13357.74,234922000
2007/9/4,13358.39,13494.06,13317.5,13448.86,262257000
2007/9/5,13442.85,13443.17,13248.24,13305.47,231849000
2007/9/6,13306.44,13398.71,13274.82,13363.35,203601000
2007/9/7,13360.74,13360.83,13082.17,13113.38,238304000
2007/9/10,13116.39,13207.19,13021.93,13127.85,221760000
2007/9/11,13129.4,13325.95,13129.15,13308.39,200164000
2007/9/12,13298.31,13360.01,13263.03,13291.65,195285000
2007/9/13,13292.38,13469.27,13292.38,13424.88,209946000
2007/9/14,13421.39,13459.75,13323.84,13442.52,204784000
2007/9/17,13441.95,13451.54,13362.37,13403.42,169718000
2007/9/18,13403.18,13739.96,13403.18,13739.39,277629000
